Blip at          0: +223669339877.642334 µs, arg0:   6353080, arg1:         0
Blip at          1: +31104.343332 µs, arg0:         0, arg1:         1
Blip at    1048577: + 16.656756 µs, arg0:         0, arg1:         2
Blip at    2097152: +11024.129061 µs, arg0:   1576648, arg1:         2
Blip at    2097153: +  4.344025 µs, arg0:   1576648, arg1:         3
Blip at    3145728: +10879.910631 µs, arg0:   3139231, arg1:         3
Blip at    3145729: + 14.679409 µs, arg0:   3139231, arg1:         4
Blip at    4194304: +10719.469780 µs, arg0:   4678576, arg1:         4
Blip at    4194305: + 10.716194 µs, arg0:   4678576, arg1:         5
Blip at    5242880: +10822.435312 µs, arg0:   6232480, arg1:         5
Blip at    5242881: +  4.509372 µs, arg0:   6232480, arg1:         6
Blip at    6291456: +10898.658260 µs, arg0:   7793618, arg1:         6
Blip at    6291457: + 16.526524 µs, arg0:   7793618, arg1:         7
Blip at    7340032: +10792.010431 µs, arg0:   9336124, arg1:         7
Blip at    7340033: + 25.364920 µs, arg0:   9336124, arg1:         8
Blip at    8388608: +10705.132656 µs, arg0:  10873700, arg1:         8
Blip at    8388609: + 17.956690 µs, arg0:  10873700, arg1:         9
Blip at    9437184: +10836.795960 µs, arg0:  12430935, arg1:         9
Blip at    9437185: + 18.021806 µs, arg0:  12430935, arg1:        10
Blip at   10485760: +10738.372187 µs, arg0:  13973117, arg1:        10
Blip at   10485761: +  4.493349 µs, arg0:  13973117, arg1:        11
Blip at   11534336: +10756.116824 µs, arg0:  15517180, arg1:        11
Blip at   11534337: + 10.463571 µs, arg0:  15517180, arg1:        12
Blip at   12582912: +10836.061273 µs, arg0:  17063260, arg1:        12
Blip at   12582913: +  6.443421 µs, arg0:  17063260, arg1:        13
Blip at   13631488: +10868.731806 µs, arg0:  18623846, arg1:        13
Blip at   13631489: + 11.225531 µs, arg0:  18623846, arg1:        14
Blip at   14680064: +10705.020151 µs, arg0:  20159821, arg1:        14
Blip at   14680065: + 17.376441 µs, arg0:  20159821, arg1:        15
Blip at   15728640: +10683.028993 µs, arg0:  21693127, arg1:        15
Blip at   15728641: +  5.241331 µs, arg0:  21693127, arg1:        16
Blip at   16777216: +10947.082105 µs, arg0:  23264606, arg1:        16
Blip at   16777217: +  4.724153 µs, arg0:  23264606, arg1:        17
Blip at   17825792: +10827.094349 µs, arg0:  24814561, arg1:        17
Blip at   17825793: +  5.745214 µs, arg0:  24814561, arg1:        18
Blip at   18874368: +10742.925538 µs, arg0:  26356669, arg1:        18
Blip at   18874369: + 13.618461 µs, arg0:  26356669, arg1:        19
Blip at   19922944: +10971.047883 µs, arg0:  27924488, arg1:        19
Blip at   19922945: + 11.513269 µs, arg0:  27924488, arg1:        20
Blip at   20971520: +10756.257624 µs, arg0:  29468668, arg1:        20
Blip at   20971521: + 11.493495 µs, arg0:  29468668, arg1:        21
Blip at   22020096: +10758.037918 µs, arg0:  31013658, arg1:        21
Blip at   22020097: +  6.915257 µs, arg0:  31013658, arg1:        22
Blip at   23068672: +10699.563699 µs, arg0:  32549187, arg1:        22
Blip at   23068673: + 11.893397 µs, arg0:  32549187, arg1:        23
Blip at   24117248: +10889.578831 µs, arg0:  34112576, arg1:        23
Blip at   24117249: + 12.261592 µs, arg0:  34112576, arg1:        24
Blip at   25165824: +10688.860119 µs, arg0:  35646920, arg1:        24
Blip at   25165825: + 12.110564 µs, arg0:  35646920, arg1:        25
Blip at   26214400: +10711.168335 µs, arg0:  37187889, arg1:        25
Blip at   26214401: + 12.932526 µs, arg0:  37187889, arg1:        26
Blip at   27262976: +10695.713669 µs, arg0:  38724231, arg1:        26
Blip at   27262977: + 12.527511 µs, arg0:  38724231, arg1:        27
Blip at   28311552: +10799.885383 µs, arg0:  40276167, arg1:        27
Blip at   28311553: +  5.334403 µs, arg0:  40276167, arg1:        28
Blip at   29360128: +10703.047919 µs, arg0:  41812885, arg1:        28
Blip at   29360129: +  6.956168 µs, arg0:  41812885, arg1:        29
Blip at   30408704: +10795.579541 µs, arg0:  43363060, arg1:        29
Blip at   30408705: + 11.009387 µs, arg0:  43363060, arg1:        30
Blip at   31457280: +10832.412729 µs, arg0:  44918585, arg1:        30
Blip at   31457281: +  3.541154 µs, arg0:  44918585, arg1:        31
Blip at   32505856: +10835.418977 µs, arg0:  46473495, arg1:        31
Blip at   32505857: +  5.838967 µs, arg0:  46473495, arg1:        32
Blip at   33554432: +10820.403418 µs, arg0:  48026484, arg1:        32
Blip at   33554433: + 18.282612 µs, arg0:  48026484, arg1:        33
Blip at   34603008: +10770.282464 µs, arg0:  49572252, arg1:        33
Blip at   34603009: +  5.027232 µs, arg0:  49572252, arg1:        34
Blip at   35651584: +10809.580857 µs, arg0:  51125651, arg1:        34
Blip at   35651585: + 18.104650 µs, arg0:  51125651, arg1:        35
Blip at   36700160: +10716.176475 µs, arg0:  52667037, arg1:        35
Blip at   36700161: + 13.440500 µs, arg0:  52667037, arg1:        36
Blip at   37748736: +10772.582663 µs, arg0:  54213249, arg1:        36
Blip at   37748737: +  8.748393 µs, arg0:  54213249, arg1:        37
Blip at   38797312: +10727.802930 µs, arg0:  55751326, arg1:        37
Blip at   38797313: + 10.872336 µs, arg0:  55751326, arg1:        38
Blip at   39845888: +10719.982526 µs, arg0:  57290778, arg1:        38
Blip at   39845889: +  6.247391 µs, arg0:  57290778, arg1:        39
